year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Kharif,Adilabad,Adilabad R,Tabacco,0,0
2018-2019,Kharif,Adilabad,Mavala,Tabacco,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Tabacco,0,0
2018-2019,Kharif,Adilabad,Jainath,Tabacco,0,0
2018-2019,Kharif,Adilabad,Bela,Tabacco,0,0
2018-2019,Kharif,Adilabad,Ichoda,Tabacco,0,0
2018-2019,Kharif,Adilabad,Srikonda,Tabacco,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Tabacco,0,0
2018-2019,Kharif,Adilabad,Utnoor,Tabacco,0,0
2018-2019,Kharif,Adilabad,Inderavelly,Tabacco,0,0
2018-2019,Kharif,Adilabad,Narnoor,Tabacco,0,0
2018-2019,Kharif,Adilabad,Gadiguda,Tabacco,0,0
2018-2019,Kharif,Adilabad,Boath,Tabacco,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Tabacco,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Tabacco,0,0
2018-2019,Kharif,Adilabad,Bheempur,Tabacco,0,0
2018-2019,Kharif,Adilabad,Tamsi,Tabacco,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Tabacco,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Other Non-Food Crops,0,0
2018-2019,Kharif,Adilabad,Mavala,Other Non-Food Crops,2,0
2018-2019,Kharif,Adilabad,Adilabad U,Other Non-Food Crops,3,0
2018-2019,Kharif,Adilabad,Jainath,Other Non-Food Crops,4,0
2018-2019,Kharif,Adilabad,Bela,Other Non-Food Crops,0,0
2018-2019,Kharif,Adilabad,Ichoda,Other Non-Food Crops,1,0
2018-2019,Kharif,Adilabad,Srikonda,Other Non-Food Crops,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Other Non-Food Crops,2,0
2018-2019,Kharif,Adilabad,Utnoor,Other Non-Food Crops,5,0
2018-2019,Kharif,Adilabad,Inderavelly,Other Non-Food Crops,3,0
2018-2019,Kharif,Adilabad,Narnoor,Other Non-Food Crops,1,0
2018-2019,Kharif,Adilabad,Gadiguda,Other Non-Food Crops,0,0
2018-2019,Kharif,Adilabad,Boath,Other Non-Food Crops,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Other Non-Food Crops,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Other Non-Food Crops,0,0
2018-2019,Kharif,Adilabad,Bheempur,Other Non-Food Crops,1,0
2018-2019,Kharif,Adilabad,Tamsi,Other Non-Food Crops,2,0
2018-2019,Kharif,Adilabad,Talamadugu,Other Non-Food Crops,2,9
2018-2019,Kharif,Adilabad,Adilabad R,Gross areas ,14864,14192
2018-2019,Kharif,Adilabad,Mavala,Gross areas ,380,785
2018-2019,Kharif,Adilabad,Adilabad U,Gross areas ,70,206
2018-2019,Kharif,Adilabad,Jainath,Gross areas ,21298,23037
2018-2019,Kharif,Adilabad,Bela,Gross areas ,15747,15709
2018-2019,Kharif,Adilabad,Ichoda,Gross areas ,12931,13425
2018-2019,Kharif,Adilabad,Srikonda,Gross areas ,1912,5311
2018-2019,Kharif,Adilabad,Gudihathnoor,Gross areas ,9665,10511
2018-2019,Kharif,Adilabad,Utnoor,Gross areas ,15293,15981
2018-2019,Kharif,Adilabad,Inderavelly,Gross areas ,14723,15107
2018-2019,Kharif,Adilabad,Narnoor,Gross areas ,14882,10377
2018-2019,Kharif,Adilabad,Gadiguda,Gross areas ,2264,10372
2018-2019,Kharif,Adilabad,Boath,Gross areas ,15052,14850
2018-2019,Kharif,Adilabad,Bazarhatnoor,Gross areas ,11887,11482
2018-2019,Kharif,Adilabad,Neradigonda,Gross areas ,9356,8832
2018-2019,Kharif,Adilabad,Bheempur,Gross areas ,4545,12004
2018-2019,Kharif,Adilabad,Tamsi,Gross areas ,13463,6369
2018-2019,Kharif,Adilabad,Talamadugu,Gross areas ,14303,14094
