year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Kharif,Adilabad,Ichoda,Green gram,100,31
2018-2019,Kharif,Adilabad,Srikonda,Green gram,26,8
2018-2019,Kharif,Adilabad,Gudihathnoor,Green gram,54,42
2018-2019,Kharif,Adilabad,Utnoor,Green gram,259,167
2018-2019,Kharif,Adilabad,Inderavelly,Green gram,247,296
2018-2019,Kharif,Adilabad,Narnoor,Green gram,281,108
2018-2019,Kharif,Adilabad,Gadiguda,Green gram,176,450
2018-2019,Kharif,Adilabad,Boath,Green gram,120,63
2018-2019,Kharif,Adilabad,Bazarhatnoor,Green gram,30,5
2018-2019,Kharif,Adilabad,Neradigonda,Green gram,98,19
2018-2019,Kharif,Adilabad,Bheempur,Green gram,43,30
2018-2019,Kharif,Adilabad,Tamsi,Green gram,75,20
2018-2019,Kharif,Adilabad,Talamadugu,Green gram,45,43
2018-2019,Kharif,Adilabad,Adilabad R,Black gram,32,67
2018-2019,Kharif,Adilabad,Mavala,Black gram,3,0
2018-2019,Kharif,Adilabad,Adilabad U,Black gram,0,0
2018-2019,Kharif,Adilabad,Jainath,Black gram,17,7
2018-2019,Kharif,Adilabad,Bela,Black gram,35,25
2018-2019,Kharif,Adilabad,Ichoda,Black gram,124,61
2018-2019,Kharif,Adilabad,Srikonda,Black gram,23,5
2018-2019,Kharif,Adilabad,Gudihathnoor,Black gram,69,69
2018-2019,Kharif,Adilabad,Utnoor,Black gram,455,108
2018-2019,Kharif,Adilabad,Inderavelly,Black gram,268,412
2018-2019,Kharif,Adilabad,Narnoor,Black gram,402,104
2018-2019,Kharif,Adilabad,Gadiguda,Black gram,216,470
2018-2019,Kharif,Adilabad,Boath,Black gram,175,64
2018-2019,Kharif,Adilabad,Bazarhatnoor,Black gram,76,7
2018-2019,Kharif,Adilabad,Neradigonda,Black gram,124,25
2018-2019,Kharif,Adilabad,Bheempur,Black gram,64,32
2018-2019,Kharif,Adilabad,Tamsi,Black gram,63,16
2018-2019,Kharif,Adilabad,Talamadugu,Black gram,57,52
2018-2019,Kharif,Adilabad,Adilabad R,Red gram,2444,2442
2018-2019,Kharif,Adilabad,Mavala,Red gram,55,144
2018-2019,Kharif,Adilabad,Adilabad U,Red gram,12,27
2018-2019,Kharif,Adilabad,Jainath,Red gram,1714,4213
2018-2019,Kharif,Adilabad,Bela,Red gram,1495,1992
2018-2019,Kharif,Adilabad,Ichoda,Red gram,1079,2027
2018-2019,Kharif,Adilabad,Srikonda,Red gram,232,659
2018-2019,Kharif,Adilabad,Gudihathnoor,Red gram,646,837
2018-2019,Kharif,Adilabad,Utnoor,Red gram,1482,1709
2018-2019,Kharif,Adilabad,Inderavelly,Red gram,970,1138
2018-2019,Kharif,Adilabad,Narnoor,Red gram,1100,1488
2018-2019,Kharif,Adilabad,Gadiguda,Red gram,130,1034
2018-2019,Kharif,Adilabad,Boath,Red gram,872,1122
2018-2019,Kharif,Adilabad,Bazarhatnoor,Red gram,1201,942
2018-2019,Kharif,Adilabad,Neradigonda,Red gram,817,675
2018-2019,Kharif,Adilabad,Bheempur,Red gram,634,1704
2018-2019,Kharif,Adilabad,Tamsi,Red gram,1326,726
2018-2019,Kharif,Adilabad,Talamadugu,Red gram,1076,1105
2018-2019,Kharif,Adilabad,Adilabad R,Cow gram,0,0
2018-2019,Kharif,Adilabad,Mavala,Cow gram,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Cow gram,0,0
2018-2019,Kharif,Adilabad,Jainath,Cow gram,0,2
2018-2019,Kharif,Adilabad,Bela,Cow gram,0,28
2018-2019,Kharif,Adilabad,Ichoda,Cow gram,0,0
2018-2019,Kharif,Adilabad,Srikonda,Cow gram,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Cow gram,0,0
2018-2019,Kharif,Adilabad,Utnoor,Cow gram,3,3
2018-2019,Kharif,Adilabad,Inderavelly,Cow gram,4,13
2018-2019,Kharif,Adilabad,Narnoor,Cow gram,8,10
2018-2019,Kharif,Adilabad,Gadiguda,Cow gram,8,3
2018-2019,Kharif,Adilabad,Boath,Cow gram,2,2
2018-2019,Kharif,Adilabad,Bazarhatnoor,Cow gram,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Cow gram,0,0
2018-2019,Kharif,Adilabad,Bheempur,Cow gram,1,0
2018-2019,Kharif,Adilabad,Tamsi,Cow gram,0,2
2018-2019,Kharif,Adilabad,Talamadugu,Cow gram,11,34
2018-2019,Kharif,Adilabad,Adilabad R,Chillies,0,25
2018-2019,Kharif,Adilabad,Mavala,Chillies,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Chillies,0,0
2018-2019,Kharif,Adilabad,Jainath,Chillies,5,32
2018-2019,Kharif,Adilabad,Bela,Chillies,10,0
2018-2019,Kharif,Adilabad,Ichoda,Chillies,0,0
2018-2019,Kharif,Adilabad,Srikonda,Chillies,1,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Chillies,0,39
2018-2019,Kharif,Adilabad,Utnoor,Chillies,3,21
2018-2019,Kharif,Adilabad,Inderavelly,Chillies,5,0
2018-2019,Kharif,Adilabad,Narnoor,Chillies,3,8
2018-2019,Kharif,Adilabad,Gadiguda,Chillies,7,2
2018-2019,Kharif,Adilabad,Boath,Chillies,27,11
2018-2019,Kharif,Adilabad,Bazarhatnoor,Chillies,3,0
2018-2019,Kharif,Adilabad,Neradigonda,Chillies,1,20
2018-2019,Kharif,Adilabad,Bheempur,Chillies,3,4
2018-2019,Kharif,Adilabad,Tamsi,Chillies,6,0
2018-2019,Kharif,Adilabad,Talamadugu,Chillies,12,0
2018-2019,Kharif,Adilabad,Adilabad R,Turmeric,4,15
2018-2019,Kharif,Adilabad,Mavala,Turmeric,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Turmeric,8,2
2018-2019,Kharif,Adilabad,Jainath,Turmeric,2,0
2018-2019,Kharif,Adilabad,Bela,Turmeric,0,5
2018-2019,Kharif,Adilabad,Ichoda,Turmeric,6,24
2018-2019,Kharif,Adilabad,Srikonda,Turmeric,0,7
2018-2019,Kharif,Adilabad,Gudihathnoor,Turmeric,1,3
2018-2019,Kharif,Adilabad,Utnoor,Turmeric,0,13
2018-2019,Kharif,Adilabad,Inderavelly,Turmeric,1,30
2018-2019,Kharif,Adilabad,Narnoor,Turmeric,0,0
2018-2019,Kharif,Adilabad,Gadiguda,Turmeric,0,0
2018-2019,Kharif,Adilabad,Boath,Turmeric,9,17
2018-2019,Kharif,Adilabad,Bazarhatnoor,Turmeric,2,0
2018-2019,Kharif,Adilabad,Neradigonda,Turmeric,12,14
2018-2019,Kharif,Adilabad,Bheempur,Turmeric,18,26
2018-2019,Kharif,Adilabad,Tamsi,Turmeric,10,11
2018-2019,Kharif,Adilabad,Talamadugu,Turmeric,16,56
2018-2019,Kharif,Adilabad,Adilabad R,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Mavala,Sugarcane,0,0
